task_id,vehicle_id,state,arrival_time_s,relative_deadline_s,absolute_deadline_s,terminal_time_s,terminal_latency_s,cost_latency_s,done,failed,timeout,result_valid,failure_reason,realized_fer_loss,all_task_loss,selected_pipeline,selected_local_model,selected_rsu,selected_edge_model,attempt_started_count,max_attempts,trace_row_id,artifact_key,encoded_size_bytes,ul_remaining_bits,dl_remaining_bits,vehicle_compute_radio_energy_j,vehicle_hold_energy_j,vehicle_attributed_energy_j,rsu_compute_radio_energy_j,rsu_hold_energy_j,rsu_attributed_energy_j,actual_path_json,phase_history_json,enqueue_times_json,start_times_json,end_times_json,anon_attempts_json,network_audit_json,rsu_audit_json
test-task-00000,veh-1,DONE,0.88078689,1.089413329,1.970200219,0.94154689,0.060760000000000036,0.060760000000000036,True,False,False,True,NONE,0.368120793,0.368120793,,local_fer_numerical_v1,,,0,0,,,,0.0,0.0,0.6959519999999999,0.009114000000000006,0.7050659999999999,0.0,0.0,0.0,"[""PREP"",""LOCAL_FER""]","[{""current"":""RAW_BUF"",""detail"":null,""previous"":null,""time_s"":0.88078689,""trigger"":""ARRIVAL""},{""current"":""PREP_WAIT"",""detail"":null,""previous"":""RAW_BUF"",""time_s"":0.88078689,""trigger"":""PREP_ENQUEUE""},{""current"":""PREP_RUN"",""detail"":null,""previous"":""PREP_WAIT"",""time_s"":0.88078689,""trigger"":""PREP_START""},{""current"":""RAW"",""detail"":null,""previous"":""PREP_RUN"",""time_s"":0.90674689,""trigger"":""PREP_DONE""},{""current"":""LOCAL_WAIT"",""detail"":null,""previous"":""RAW"",""time_s"":0.90754689,""trigger"":""LOCAL_ENQUEUE""},{""current"":""LOCAL_RUN"",""detail"":null,""previous"":""LOCAL_WAIT"",""time_s"":0.90754689,""trigger"":""LOCAL_START""},{""current"":""DONE"",""detail"":null,""previous"":""LOCAL_RUN"",""time_s"":0.94154689,""trigger"":""LOCAL_DONE""}]","{""LOCAL_FER"":[0.90754689],""PREP"":[0.88078689]}","{""LOCAL_FER"":[0.90754689],""PREP"":[0.88078689]}","{""LOCAL_FER"":[0.94154689],""PREP"":[0.90674689]}",[],[],[]
test-task-00001,veh-2,DONE,1.866666634,1.172196452,3.038863086,1.9746666339999999,0.10799999999999987,0.10799999999999987,True,False,False,True,NONE,0.235053442,0.235053442,,local_fer_numerical_v1,,,0,0,,,,0.0,0.0,0.8109199999999994,0.012959999999999984,0.8238799999999994,0.0,0.0,0.0,"[""PREP"",""LOCAL_FER""]","[{""current"":""RAW_BUF"",""detail"":null,""previous"":null,""time_s"":1.866666634,""trigger"":""ARRIVAL""},{""current"":""PREP_WAIT"",""detail"":null,""previous"":""RAW_BUF"",""time_s"":1.866666634,""trigger"":""PREP_ENQUEUE""},{""current"":""PREP_RUN"",""detail"":null,""previous"":""PREP_WAIT"",""time_s"":1.866666634,""trigger"":""PREP_START""},{""current"":""RAW"",""detail"":null,""previous"":""PREP_RUN"",""time_s"":1.905666634,""trigger"":""PREP_DONE""},{""current"":""LOCAL_WAIT"",""detail"":null,""previous"":""RAW"",""time_s"":1.9064666339999998,""trigger"":""LOCAL_ENQUEUE""},{""current"":""LOCAL_RUN"",""detail"":null,""previous"":""LOCAL_WAIT"",""time_s"":1.9064666339999998,""trigger"":""LOCAL_START""},{""current"":""DONE"",""detail"":null,""previous"":""LOCAL_RUN"",""time_s"":1.9746666339999999,""trigger"":""LOCAL_DONE""}]","{""LOCAL_FER"":[1.9064666339999998],""PREP"":[1.866666634]}","{""LOCAL_FER"":[1.9064666339999998],""PREP"":[1.866666634]}","{""LOCAL_FER"":[1.9746666339999999],""PREP"":[1.905666634]}",[],[],[]
test-task-00002,veh-1,DONE,2.717835914,1.09962516,3.817461074,2.781995914,0.06415999999999977,0.06415999999999977,True,False,False,True,NONE,0.401590688,0.401590688,,local_fer_numerical_v1,,,0,0,,,,0.0,0.0,0.7360719999999983,0.009623999999999966,0.7456959999999982,0.0,0.0,0.0,"[""PREP"",""LOCAL_FER""]","[{""current"":""RAW_BUF"",""detail"":null,""previous"":null,""time_s"":2.717835914,""trigger"":""ARRIVAL""},{""current"":""PREP_WAIT"",""detail"":null,""previous"":""RAW_BUF"",""time_s"":2.717835914,""trigger"":""PREP_ENQUEUE""},{""current"":""PREP_RUN"",""detail"":null,""previous"":""PREP_WAIT"",""time_s"":2.717835914,""trigger"":""PREP_START""},{""current"":""RAW"",""detail"":null,""previous"":""PREP_RUN"",""time_s"":2.743795914,""trigger"":""PREP_DONE""},{""current"":""LOCAL_WAIT"",""detail"":null,""previous"":""RAW"",""time_s"":2.744595914,""trigger"":""LOCAL_ENQUEUE""},{""current"":""LOCAL_RUN"",""detail"":null,""previous"":""LOCAL_WAIT"",""time_s"":2.744595914,""trigger"":""LOCAL_START""},{""current"":""DONE"",""detail"":null,""previous"":""LOCAL_RUN"",""time_s"":2.781995914,""trigger"":""LOCAL_DONE""}]","{""LOCAL_FER"":[2.744595914],""PREP"":[2.717835914]}","{""LOCAL_FER"":[2.744595914],""PREP"":[2.717835914]}","{""LOCAL_FER"":[2.781995914],""PREP"":[2.743795914]}",[],[],[]
test-task-00003,veh-2,DONE,3.692357324,1.110258023,4.802615347,3.847471609714286,0.15511428571428576,0.15511428571428576,True,False,False,True,NONE,0.401590688,0.401590688,,local_fer_numerical_v1,,,0,0,,,,0.0,0.0,0.8157479999999996,0.018613714285714292,0.8343617142857139,0.0,0.0,0.0,"[""PREP"",""LOCAL_FER""]","[{""current"":""RAW_BUF"",""detail"":null,""previous"":null,""time_s"":3.692357324,""trigger"":""ARRIVAL""},{""current"":""PREP_WAIT"",""detail"":null,""previous"":""RAW_BUF"",""time_s"":3.692357324,""trigger"":""PREP_ENQUEUE""},{""current"":""PREP_RUN"",""detail"":null,""previous"":""PREP_WAIT"",""time_s"":3.692357324,""trigger"":""PREP_START""},{""current"":""RAW"",""detail"":null,""previous"":""PREP_RUN"",""time_s"":3.7581001811428574,""trigger"":""PREP_DONE""},{""current"":""LOCAL_WAIT"",""detail"":null,""previous"":""RAW"",""time_s"":3.7589001811428573,""trigger"":""LOCAL_ENQUEUE""},{""current"":""LOCAL_RUN"",""detail"":null,""previous"":""LOCAL_WAIT"",""time_s"":3.7589001811428573,""trigger"":""LOCAL_START""},{""current"":""DONE"",""detail"":null,""previous"":""LOCAL_RUN"",""time_s"":3.847471609714286,""trigger"":""LOCAL_DONE""}]","{""LOCAL_FER"":[3.7589001811428573],""PREP"":[3.692357324]}","{""LOCAL_FER"":[3.7589001811428573],""PREP"":[3.692357324]}","{""LOCAL_FER"":[3.847471609714286],""PREP"":[3.7581001811428574]}",[],[],[]
test-task-00004,veh-1,DONE,4.607431848,0.997787976,5.605219824,4.673762293599999,0.06633044559999934,0.06633044559999934,True,False,False,True,NONE,0.248575893,0.248575893,,local_fer_numerical_v1,,,0,0,,,,0.0,0.0,0.6515999999999944,0.009949566839999901,0.6615495668399943,0.0,0.0,0.0,"[""PREP"",""LOCAL_FER""]","[{""current"":""RAW_BUF"",""detail"":null,""previous"":null,""time_s"":4.607431848,""trigger"":""ARRIVAL""},{""current"":""PREP_WAIT"",""detail"":null,""previous"":""RAW_BUF"",""time_s"":4.607431848,""trigger"":""PREP_ENQUEUE""},{""current"":""PREP_RUN"",""detail"":null,""previous"":""PREP_WAIT"",""time_s"":4.607431848,""trigger"":""PREP_START""},{""current"":""RAW"",""detail"":null,""previous"":""PREP_RUN"",""time_s"":4.638860419428571,""trigger"":""PREP_DONE""},{""current"":""LOCAL_WAIT"",""detail"":null,""previous"":""RAW"",""time_s"":4.639660419428571,""trigger"":""LOCAL_ENQUEUE""},{""current"":""LOCAL_RUN"",""detail"":null,""previous"":""LOCAL_WAIT"",""time_s"":4.639660419428571,""trigger"":""LOCAL_START""},{""current"":""DONE"",""detail"":null,""previous"":""LOCAL_RUN"",""time_s"":4.673762293599999,""trigger"":""LOCAL_DONE""}]","{""LOCAL_FER"":[4.639660419428571],""PREP"":[4.607431848]}","{""LOCAL_FER"":[4.639660419428571],""PREP"":[4.607431848]}","{""LOCAL_FER"":[4.673762293599999],""PREP"":[4.638860419428571]}",[],[],[]
test-task-00005,veh-2,FAIL,5.50292701,1.080228719,6.583155729,5.541927009999999,0.0389999999999997,1.080228719,False,True,False,False,PREP_FAILED,,1.0,,,,,0,0,,,,0.0,0.0,0.28859999999999786,0.004679999999999964,0.2932799999999978,0.0,0.0,0.0,[],"[{""current"":""RAW_BUF"",""detail"":null,""previous"":null,""time_s"":5.50292701,""trigger"":""ARRIVAL""},{""current"":""PREP_WAIT"",""detail"":null,""previous"":""RAW_BUF"",""time_s"":5.50292701,""trigger"":""PREP_ENQUEUE""},{""current"":""PREP_RUN"",""detail"":null,""previous"":""PREP_WAIT"",""time_s"":5.50292701,""trigger"":""PREP_START""},{""current"":""FAIL"",""detail"":null,""previous"":""PREP_RUN"",""time_s"":5.541927009999999,""trigger"":""PREP_FAILED""}]","{""PREP"":[5.50292701]}","{""PREP"":[5.50292701]}","{""PREP"":[5.541927009999999]}",[],[],[]
