task_id,vehicle_id,state,arrival_time_s,relative_deadline_s,absolute_deadline_s,terminal_time_s,terminal_latency_s,cost_latency_s,done,failed,timeout,result_valid,failure_reason,realized_fer_loss,all_task_loss,selected_pipeline,selected_local_model,selected_rsu,selected_edge_model,attempt_started_count,max_attempts,trace_row_id,artifact_key,encoded_size_bytes,ul_remaining_bits,dl_remaining_bits,vehicle_compute_radio_energy_j,vehicle_hold_energy_j,vehicle_attributed_energy_j,rsu_compute_radio_energy_j,rsu_hold_energy_j,rsu_attributed_energy_j,actual_path_json,phase_history_json,enqueue_times_json,start_times_json,end_times_json,anon_attempts_json,network_audit_json,rsu_audit_json
task-001,veh-1,DONE,0.1,0.9,1.0,0.15810000000000002,0.05810000000000001,0.05810000000000001,True,False,False,True,NONE,0.105,0.105,,local_fer_compact_v1,,,0,0,,,,0.0,0.0,0.6811,0.008715000000000002,0.6898150000000001,0.0,0.0,0.0,"[""PREP"",""LOCAL_FER""]","[{""current"":""RAW_BUF"",""detail"":null,""previous"":null,""time_s"":0.1,""trigger"":""ARRIVAL""},{""current"":""PREP_WAIT"",""detail"":null,""previous"":""RAW_BUF"",""time_s"":0.1,""trigger"":""PREP_ENQUEUE""},{""current"":""PREP_RUN"",""detail"":null,""previous"":""PREP_WAIT"",""time_s"":0.1,""trigger"":""PREP_START""},{""current"":""RAW"",""detail"":null,""previous"":""PREP_RUN"",""time_s"":0.12100000000000001,""trigger"":""PREP_DONE""},{""current"":""LOCAL_WAIT"",""detail"":null,""previous"":""RAW"",""time_s"":0.1218,""trigger"":""LOCAL_ENQUEUE""},{""current"":""LOCAL_RUN"",""detail"":null,""previous"":""LOCAL_WAIT"",""time_s"":0.1218,""trigger"":""LOCAL_START""},{""current"":""DONE"",""detail"":null,""previous"":""LOCAL_RUN"",""time_s"":0.15810000000000002,""trigger"":""LOCAL_DONE""}]","{""LOCAL_FER"":[0.1218],""PREP"":[0.1]}","{""LOCAL_FER"":[0.1218],""PREP"":[0.1]}","{""LOCAL_FER"":[0.15810000000000002],""PREP"":[0.12100000000000001]}",[],[],[]
task-002,veh-2,DONE,0.1,1.15,1.25,0.20664,0.10663999999999998,0.10663999999999998,True,False,False,True,NONE,0.23,0.23,,local_fer_compact_v1,,,0,0,,,,0.0,0.0,0.8160999999999999,0.012796799999999997,0.8288967999999999,0.0,0.0,0.0,"[""PREP"",""LOCAL_FER""]","[{""current"":""RAW_BUF"",""detail"":null,""previous"":null,""time_s"":0.1,""trigger"":""ARRIVAL""},{""current"":""PREP_WAIT"",""detail"":null,""previous"":""RAW_BUF"",""time_s"":0.1,""trigger"":""PREP_ENQUEUE""},{""current"":""PREP_RUN"",""detail"":null,""previous"":""PREP_WAIT"",""time_s"":0.1,""trigger"":""PREP_START""},{""current"":""RAW"",""detail"":null,""previous"":""PREP_RUN"",""time_s"":0.14484,""trigger"":""PREP_DONE""},{""current"":""LOCAL_WAIT"",""detail"":null,""previous"":""RAW"",""time_s"":0.14564,""trigger"":""LOCAL_ENQUEUE""},{""current"":""LOCAL_RUN"",""detail"":null,""previous"":""LOCAL_WAIT"",""time_s"":0.14564,""trigger"":""LOCAL_START""},{""current"":""DONE"",""detail"":null,""previous"":""LOCAL_RUN"",""time_s"":0.20664,""trigger"":""LOCAL_DONE""}]","{""LOCAL_FER"":[0.14564],""PREP"":[0.1]}","{""LOCAL_FER"":[0.14564],""PREP"":[0.1]}","{""LOCAL_FER"":[0.20664],""PREP"":[0.14484]}",[],[],[]
task-003,veh-1,DONE,0.72,0.7,1.42,0.77858,0.058580000000000076,0.058580000000000076,True,False,False,True,NONE,0.23,0.23,,local_fer_compact_v1,,,0,0,,,,0.0,0.0,0.6849700000000001,0.00878700000000001,0.6937570000000001,0.0,0.0,0.0,"[""PREP"",""LOCAL_FER""]","[{""current"":""RAW_BUF"",""detail"":null,""previous"":null,""time_s"":0.72,""trigger"":""ARRIVAL""},{""current"":""PREP_WAIT"",""detail"":null,""previous"":""RAW_BUF"",""time_s"":0.72,""trigger"":""PREP_ENQUEUE""},{""current"":""PREP_RUN"",""detail"":null,""previous"":""PREP_WAIT"",""time_s"":0.72,""trigger"":""PREP_START""},{""current"":""RAW"",""detail"":null,""previous"":""PREP_RUN"",""time_s"":0.74478,""trigger"":""PREP_DONE""},{""current"":""LOCAL_WAIT"",""detail"":null,""previous"":""RAW"",""time_s"":0.74558,""trigger"":""LOCAL_ENQUEUE""},{""current"":""LOCAL_RUN"",""detail"":null,""previous"":""LOCAL_WAIT"",""time_s"":0.74558,""trigger"":""LOCAL_START""},{""current"":""DONE"",""detail"":null,""previous"":""LOCAL_RUN"",""time_s"":0.77858,""trigger"":""LOCAL_DONE""}]","{""LOCAL_FER"":[0.74558],""PREP"":[0.72]}","{""LOCAL_FER"":[0.74558],""PREP"":[0.72]}","{""LOCAL_FER"":[0.77858],""PREP"":[0.74478]}",[],[],[]
task-004,veh-2,DONE,1.42,1.35,2.77,1.634908568148002,0.21490856814800208,0.21490856814800208,True,False,False,True,NONE,0.113907637,0.113907637,blur_balanced_v1,,rsu-2,edge_fer_full_v1,1,2,anon-0030,synthetic-artifact-62ceb28e261fe9754d4e,82000,0.0,0.0,1.11693422322887,0.025789028177760246,1.1427232514066301,0.8873248155453257,0.008000000000000007,0.8953248155453257,"[""PREP"",""ANON#1"",""GUARD#1"",""ENCODE#1"",""UL:rsu-2"",""EDGE:rsu-2"",""DL:rsu-2""]","[{""current"":""RAW_BUF"",""detail"":null,""previous"":null,""time_s"":1.42,""trigger"":""ARRIVAL""},{""current"":""PREP_WAIT"",""detail"":null,""previous"":""RAW_BUF"",""time_s"":1.42,""trigger"":""PREP_ENQUEUE""},{""current"":""PREP_RUN"",""detail"":null,""previous"":""PREP_WAIT"",""time_s"":1.42,""trigger"":""PREP_START""},{""current"":""RAW"",""detail"":null,""previous"":""PREP_RUN"",""time_s"":1.458,""trigger"":""PREP_DONE""},{""current"":""ANON_WAIT"",""detail"":null,""previous"":""RAW"",""time_s"":1.4587999999999999,""trigger"":""PIPE_COMMIT""},{""current"":""ANON_RUN"",""detail"":null,""previous"":""ANON_WAIT"",""time_s"":1.4587999999999999,""trigger"":""ANON_START""},{""current"":""GUARD_WAIT"",""detail"":null,""previous"":""ANON_RUN"",""time_s"":1.5070357799999998,""trigger"":""ANON_DONE""},{""current"":""GUARD_RUN"",""detail"":null,""previous"":""GUARD_WAIT"",""time_s"":1.5070357799999998,""trigger"":""GUARD_START""},{""current"":""ENCODE_WAIT"",""detail"":null,""previous"":""GUARD_RUN"",""time_s"":1.5150357799999998,""trigger"":""GUARD_DONE""},{""current"":""ENCODE_RUN"",""detail"":null,""previous"":""ENCODE_WAIT"",""time_s"":1.5150357799999998,""trigger"":""ENCODE_START""},{""current"":""READY"",""detail"":null,""previous"":""ENCODE_RUN"",""time_s"":1.5238580019999999,""trigger"":""ENCODE_DONE""},{""current"":""UL"",""detail"":null,""previous"":""READY"",""time_s"":1.5246580019999998,""trigger"":""UL_START""},{""current"":""EDGE_WAIT"",""detail"":null,""previous"":""UL"",""time_s"":1.6147916859798377,""trigger"":""RSU_ADMIT""},{""current"":""EDGE_RUN"",""detail"":null,""previous"":""EDGE_WAIT"",""time_s"":1.6179916859798378,""trigger"":""EDGE_START""},{""current"":""DL"",""detail"":null,""previous"":""EDGE_RUN"",""time_s"":1.6347916859798377,""trigger"":""EDGE_DONE""},{""current"":""DONE"",""detail"":null,""previous"":""DL"",""time_s"":1.634908568148002,""trigger"":""DL_DONE""}]","{""ANON"":[1.4587999999999999],""EDGE_FER"":[1.6179916859798378],""ENCODE"":[1.5150357799999998],""GUARD"":[1.5070357799999998],""PREP"":[1.42],""RSU_INGRESS"":[1.6147916859798377]}","{""ANON"":[1.4587999999999999],""EDGE_FER"":[1.6179916859798378],""ENCODE"":[1.5150357799999998],""GUARD"":[1.5070357799999998],""PREP"":[1.42],""RSU_INGRESS"":[1.6147916859798377]}","{""ANON"":[1.5070357799999998],""EDGE_FER"":[1.6347916859798377],""ENCODE"":[1.5238580019999999],""GUARD"":[1.5150357799999998],""PREP"":[1.458],""RSU_INGRESS"":[1.6179916859798378]}","[{""anon_completed_time_s"":1.5070357799999998,""anon_energy_j"":0.43412202,""anon_oom"":false,""anon_work_s"":0.04823578,""attempt"":1,""encode_completed_time_s"":1.5238580019999999,""encode_success"":true,""encoded_size_bytes"":82000,""guard_completed_time_s"":1.5150357799999998,""guard_passed"":true,""time_s"":1.5070357799999998}]","[{""direction"":""UL"",""rsu_id"":""rsu-2"",""status"":""START"",""time_s"":1.5246580019999998,""total_bits"":658048.0},{""delivered_bits"":658048.0,""direction"":""UL"",""rsu_energy_j"":0.12618715757177304,""status"":""DONE"",""time_s"":1.6147916859798377,""vehicle_energy_j"":0.2884277887354813},{""direction"":""DL"",""rsu_id"":""rsu-2"",""status"":""START"",""time_s"":1.6347916859798377,""total_bits"":2048},{""delivered_bits"":2048.0,""direction"":""DL"",""rsu_energy_j"":0.0005376579735557828,""status"":""DONE"",""time_s"":1.634908568148002,""vehicle_energy_j"":0.0001344144933889457}]","[{""admission"":""ACCEPT"",""pinned_model_hash"":""cff94c9fa50bda3fe3cdc393316ccad4236fbfa43b8f77d33678eb333522f371"",""time_s"":1.6147916859798377,""vram_bytes"":671088640,""work_gpu_s"":0.0168},{""phase"":""ingress_start"",""time_s"":1.6147916859798377},{""phase"":""ingress_done"",""time_s"":1.6179916859798378}]"
task-005,veh-1,DONE,2.8,0.62,3.42,2.8906235294117644,0.09062352941176455,0.09062352941176455,True,False,False,True,NONE,0.245,0.245,,local_fer_compact_v1,,,0,0,,,,0.0,0.0,0.7245699999999988,0.013593529411764681,0.7381635294117636,0.0,0.0,0.0,"[""PREP"",""LOCAL_FER""]","[{""current"":""RAW_BUF"",""detail"":null,""previous"":null,""time_s"":2.8,""trigger"":""ARRIVAL""},{""current"":""PREP_WAIT"",""detail"":null,""previous"":""RAW_BUF"",""time_s"":2.8,""trigger"":""PREP_ENQUEUE""},{""current"":""PREP_RUN"",""detail"":null,""previous"":""PREP_WAIT"",""time_s"":2.8,""trigger"":""PREP_START""},{""current"":""RAW"",""detail"":null,""previous"":""PREP_RUN"",""time_s"":2.836441176470588,""trigger"":""PREP_DONE""},{""current"":""LOCAL_WAIT"",""detail"":null,""previous"":""RAW"",""time_s"":2.837241176470588,""trigger"":""LOCAL_ENQUEUE""},{""current"":""LOCAL_RUN"",""detail"":null,""previous"":""LOCAL_WAIT"",""time_s"":2.837241176470588,""trigger"":""LOCAL_START""},{""current"":""DONE"",""detail"":null,""previous"":""LOCAL_RUN"",""time_s"":2.8906235294117644,""trigger"":""LOCAL_DONE""}]","{""LOCAL_FER"":[2.837241176470588],""PREP"":[2.8]}","{""LOCAL_FER"":[2.837241176470588],""PREP"":[2.8]}","{""LOCAL_FER"":[2.8906235294117644],""PREP"":[2.836441176470588]}",[],[],[]
task-006,veh-2,DONE,3.48,1.2,4.68,3.6353588235294114,0.15535882352941144,0.15535882352941144,True,False,False,True,NONE,0.105,0.105,,local_fer_compact_v1,,,0,0,,,,0.0,0.0,0.8123799999999988,0.018643058823529374,0.8310230588235281,0.0,0.0,0.0,"[""PREP"",""LOCAL_FER""]","[{""current"":""RAW_BUF"",""detail"":null,""previous"":null,""time_s"":3.48,""trigger"":""ARRIVAL""},{""current"":""PREP_WAIT"",""detail"":null,""previous"":""RAW_BUF"",""time_s"":3.48,""trigger"":""PREP_ENQUEUE""},{""current"":""PREP_RUN"",""detail"":null,""previous"":""PREP_WAIT"",""time_s"":3.48,""trigger"":""PREP_START""},{""current"":""RAW"",""detail"":null,""previous"":""PREP_RUN"",""time_s"":3.5358823529411763,""trigger"":""PREP_DONE""},{""current"":""LOCAL_WAIT"",""detail"":null,""previous"":""RAW"",""time_s"":3.536682352941176,""trigger"":""LOCAL_ENQUEUE""},{""current"":""LOCAL_RUN"",""detail"":null,""previous"":""LOCAL_WAIT"",""time_s"":3.536682352941176,""trigger"":""LOCAL_START""},{""current"":""DONE"",""detail"":null,""previous"":""LOCAL_RUN"",""time_s"":3.6353588235294114,""trigger"":""LOCAL_DONE""}]","{""LOCAL_FER"":[3.536682352941176],""PREP"":[3.48]}","{""LOCAL_FER"":[3.536682352941176],""PREP"":[3.48]}","{""LOCAL_FER"":[3.6353588235294114],""PREP"":[3.5358823529411763]}",[],[],[]
task-007,veh-1,FAIL,4.95,0.85,5.8,4.971,0.020999999999999908,0.85,False,True,False,False,PREP_FAILED,,1.0,,,,,0,0,,,,0.0,0.0,0.2414999999999989,0.003149999999999986,0.2446499999999989,0.0,0.0,0.0,[],"[{""current"":""RAW_BUF"",""detail"":null,""previous"":null,""time_s"":4.95,""trigger"":""ARRIVAL""},{""current"":""PREP_WAIT"",""detail"":null,""previous"":""RAW_BUF"",""time_s"":4.95,""trigger"":""PREP_ENQUEUE""},{""current"":""PREP_RUN"",""detail"":null,""previous"":""PREP_WAIT"",""time_s"":4.95,""trigger"":""PREP_START""},{""current"":""FAIL"",""detail"":null,""previous"":""PREP_RUN"",""time_s"":4.971,""trigger"":""PREP_FAILED""}]","{""PREP"":[4.95]}","{""PREP"":[4.95]}","{""PREP"":[4.971]}",[],[],[]
task-008,veh-2,DONE,5.82,1.35,7.17,5.93274,0.11273999999999962,0.11273999999999962,True,False,False,True,NONE,0.245,0.245,,local_fer_compact_v1,,,0,0,,,,0.0,0.0,0.8636799999999977,0.013528799999999952,0.8772087999999976,0.0,0.0,0.0,"[""PREP"",""LOCAL_FER""]","[{""current"":""RAW_BUF"",""detail"":null,""previous"":null,""time_s"":5.82,""trigger"":""ARRIVAL""},{""current"":""PREP_WAIT"",""detail"":null,""previous"":""RAW_BUF"",""time_s"":5.82,""trigger"":""PREP_ENQUEUE""},{""current"":""PREP_RUN"",""detail"":null,""previous"":""PREP_WAIT"",""time_s"":5.82,""trigger"":""PREP_START""},{""current"":""RAW"",""detail"":null,""previous"":""PREP_RUN"",""time_s"":5.86484,""trigger"":""PREP_DONE""},{""current"":""LOCAL_WAIT"",""detail"":null,""previous"":""RAW"",""time_s"":5.86564,""trigger"":""LOCAL_ENQUEUE""},{""current"":""LOCAL_RUN"",""detail"":null,""previous"":""LOCAL_WAIT"",""time_s"":5.86564,""trigger"":""LOCAL_START""},{""current"":""DONE"",""detail"":null,""previous"":""LOCAL_RUN"",""time_s"":5.93274,""trigger"":""LOCAL_DONE""}]","{""LOCAL_FER"":[5.86564],""PREP"":[5.82]}","{""LOCAL_FER"":[5.86564],""PREP"":[5.82]}","{""LOCAL_FER"":[5.93274],""PREP"":[5.86484]}",[],[],[]
